'mean_fit_time' 	 [ 0.00091308] 
'std_fit_time' 	 [ 0.0005583] 
'mean_score_time' 	 [ 0.00042446] 
'std_score_time' 	 [ 0.00024346] 
'params' 	 [{}] 
'split0_test_score' 	 [ 0.7877095] 
'split1_test_score' 	 [ 0.80446927] 
'split2_test_score' 	 [ 0.84831461] 
'split3_test_score' 	 [ 0.82022472] 
'split4_test_score' 	 [ 0.77966102] 
'split5_test_score' 	 [ 0.80446927] 
'split6_test_score' 	 [ 0.84357542] 
'split7_test_score' 	 [ 0.82022472] 
'split8_test_score' 	 [ 0.79775281] 
'split9_test_score' 	 [ 0.79096045] 
'split10_test_score' 	 [ 0.84357542] 
'split11_test_score' 	 [ 0.80446927] 
'split12_test_score' 	 [ 0.82022472] 
'split13_test_score' 	 [ 0.8258427] 
'split14_test_score' 	 [ 0.79661017] 
'split15_test_score' 	 [ 0.84916201] 
'split16_test_score' 	 [ 0.79329609] 
'split17_test_score' 	 [ 0.79213483] 
'split18_test_score' 	 [ 0.81460674] 
'split19_test_score' 	 [ 0.82485876] 
'split20_test_score' 	 [ 0.78212291] 
'split21_test_score' 	 [ 0.82681564] 
'split22_test_score' 	 [ 0.80337079] 
'split23_test_score' 	 [ 0.79775281] 
'split24_test_score' 	 [ 0.83050847] 
'split25_test_score' 	 [ 0.79888268] 
'split26_test_score' 	 [ 0.82122905] 
'split27_test_score' 	 [ 0.83707865] 
'split28_test_score' 	 [ 0.78651685] 
'split29_test_score' 	 [ 0.78531073] 
'split30_test_score' 	 [ 0.81564246] 
'split31_test_score' 	 [ 0.82681564] 
'split32_test_score' 	 [ 0.80898876] 
'split33_test_score' 	 [ 0.82022472] 
'split34_test_score' 	 [ 0.78531073] 
'split35_test_score' 	 [ 0.82122905] 
'split36_test_score' 	 [ 0.76536313] 
'split37_test_score' 	 [ 0.84269663] 
'split38_test_score' 	 [ 0.79213483] 
'split39_test_score' 	 [ 0.83050847] 
'split40_test_score' 	 [ 0.81005587] 
'split41_test_score' 	 [ 0.80446927] 
'split42_test_score' 	 [ 0.78651685] 
'split43_test_score' 	 [ 0.79213483] 
'split44_test_score' 	 [ 0.81920904] 
'split45_test_score' 	 [ 0.7877095] 
'split46_test_score' 	 [ 0.78212291] 
'split47_test_score' 	 [ 0.81460674] 
'split48_test_score' 	 [ 0.84269663] 
'split49_test_score' 	 [ 0.79096045] 
'mean_test_score' 	 [ 0.80942761] 
'std_test_score' 	 [ 0.02065957] 
'rank_test_score' 	 [1] 
'split0_train_score' 	 [ 0.83848315] 
'split1_train_score' 	 [ 0.83567416] 
'split2_train_score' 	 [ 0.82468443] 
'split3_train_score' 	 [ 0.82608696] 
'split4_train_score' 	 [ 0.84033613] 
'split5_train_score' 	 [ 0.83707865] 
'split6_train_score' 	 [ 0.8258427] 
'split7_train_score' 	 [ 0.83029453] 
'split8_train_score' 	 [ 0.83870968] 
'split9_train_score' 	 [ 0.83053221] 
'split10_train_score' 	 [ 0.82724719] 
'split11_train_score' 	 [ 0.83567416] 
'split12_train_score' 	 [ 0.83029453] 
'split13_train_score' 	 [ 0.83029453] 
'split14_train_score' 	 [ 0.83893557] 
'split15_train_score' 	 [ 0.82303371] 
'split16_train_score' 	 [ 0.83848315] 
'split17_train_score' 	 [ 0.83590463] 
'split18_train_score' 	 [ 0.83169705] 
'split19_train_score' 	 [ 0.83193277] 
'split20_train_score' 	 [ 0.84129213] 
'split21_train_score' 	 [ 0.83005618] 
'split22_train_score' 	 [ 0.82889201] 
'split23_train_score' 	 [ 0.83590463] 
'split24_train_score' 	 [ 0.82913165] 
'split25_train_score' 	 [ 0.83567416] 
'split26_train_score' 	 [ 0.83286517] 
'split27_train_score' 	 [ 0.82468443] 
'split28_train_score' 	 [ 0.83870968] 
'split29_train_score' 	 [ 0.83333333] 
'split30_train_score' 	 [ 0.83146067] 
'split31_train_score' 	 [ 0.83146067] 
'split32_train_score' 	 [ 0.83590463] 
'split33_train_score' 	 [ 0.83169705] 
'split34_train_score' 	 [ 0.83613445] 
'split35_train_score' 	 [ 0.83146067] 
'split36_train_score' 	 [ 0.84410112] 
'split37_train_score' 	 [ 0.82328191] 
'split38_train_score' 	 [ 0.8401122] 
'split39_train_score' 	 [ 0.82773109] 
'split40_train_score' 	 [ 0.83146067] 
'split41_train_score' 	 [ 0.83567416] 
'split42_train_score' 	 [ 0.8401122] 
'split43_train_score' 	 [ 0.82328191] 
'split44_train_score' 	 [ 0.83333333] 
'split45_train_score' 	 [ 0.83988764] 
'split46_train_score' 	 [ 0.84129213] 
'split47_train_score' 	 [ 0.83169705] 
'split48_train_score' 	 [ 0.81767181] 
'split49_train_score' 	 [ 0.83753501] 
'mean_train_score' 	 [ 0.83294107] 
'std_train_score' 	 [ 0.00571025] 
